mutation_strategy,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
single,0,0,0.17649435913562775,0.19224976275761918,0.011527822286773938,0.0,0.0,5.66587135717008,5.201539830875748
single,0,1,0.16042048561573027,0.18043725738128025,0.009288115734372417,0.016073873519897475,0.09107301558315217,6.233578975794899,5.542061946912518
single,0,2,0.15671158099174498,0.17024159964323046,0.006626426198996987,0.003708904623985293,0.11208731112296122,6.381108610882213,5.873970452140966
single,0,3,0.15053778326511383,0.16346113679011662,0.006153323442795761,0.006173797726631153,0.1470674530202265,6.642806447019703,6.117624666096147
single,0,4,0.1477564135789871,0.15645011045932772,0.003723032833392894,0.0027813696861267168,0.16282642514686185,6.7678499222336965,6.391773104480253
single,0,5,0.14577263832092285,0.15200788906415305,0.0035720689069264596,0.0019837752580642576,0.1740663042442998,6.859950890424268,6.57856264956956
single,0,6,0.14096007680892944,0.14867925330003107,0.0029719371968720512,0.004812561511993413,0.20133381316392018,7.094156930678705,6.725842724938316
single,0,7,0.1399427792429924,0.14544889336427053,0.0027964741309733894,0.0010172975659370476,0.2070977229620532,7.145726701175068,6.875219890987201
single,0,8,0.13989709609746934,0.1428621468047301,0.002720775221353194,4.5683145523056634e-05,0.20735655925431085,7.148060108718587,6.999705818931958
single,0,9,0.13661111599206924,0.14103242486715317,0.0024112192258539567,0.003285980105400099,0.22597460530118185,7.319994956070024,7.090517733239143
single,0,10,0.13424506735801697,0.13969622896711034,0.0028201117226147893,0.0023660486340522646,0.23938040844208597,7.449007778627353,7.1583381244837385
single,0,11,0.13286105066537857,0.13625266962250074,0.002547641025014598,0.0013840166926384068,0.2472221134088427,7.526603683986204,7.339251873146332
single,0,12,0.12811413031816482,0.13401208708286286,0.0024318673146418693,0.0047469203472137456,0.2741177058258557,7.805479317833663,7.461957796567143
single,0,13,0.1275011596083641,0.1308142600695292,0.002082034889538766,0.0006129707098007087,0.2775907386910571,7.8430044092712,7.644368091830366
single,0,14,0.12575155967473983,0.1286531470298767,0.0017398987279258213,0.0017495999336242796,0.2875038030076328,7.952124414695886,7.772777038953707
single,0,15,0.12210014295578003,0.12695016821424168,0.0017601741153248159,0.003651416718959799,0.3081923776274814,8.189931525556304,7.877044489361522
single,0,16,0.12089608424901963,0.12502884457707406,0.002302819972682682,0.001204058706760408,0.31501445801949635,8.271498077987015,7.99809040299618
single,0,17,0.11528338980674743,0.12201325247486432,0.0030575782886681484,0.0056126944422721925,0.3468154428768033,8.674201265898285,8.195763853128602
single,0,18,0.10948599392175674,0.11755856237610182,0.0028213533010704953,0.005797395884990689,0.37966292827737447,9.133504941368974,8.506326323338591
single,0,19,0.10895907920598984,0.11387163776556648,0.0022091144772984645,0.0005269147157669074,0.3826483761882734,9.177673211025228,8.781740895988854
single,0,20,0.10590033000707627,0.11097579210797945,0.0025519604714352353,0.0030587491989135657,0.39997895385598825,9.442752040349074,9.010893007494834
single,0,21,0.10379273056983948,0.10793760046561558,0.0017889525552293257,0.00210759943723679,0.4119204087985635,9.634493283071004,9.264526274069631
single,0,22,0.10285077011585236,0.10602327033281327,0.001928803768823079,0.0009419604539871174,0.41725746579347445,9.722730088880326,9.431802707634496
single,0,23,0.09893060475587845,0.104436801191171,0.0021357494647604607,0.003920165359973915,0.4394687442681675,10.107993319905999,9.57507711378874
single,0,24,0.09826629215478896,0.10157774211366971,0.0020707781885949826,0.000664312601089484,0.4432326753328367,10.176325998937847,9.844579477869193
single,0,25,0.09656017488241196,0.09952761572798095,0.002589800027841846,0.001706117272377003,0.4528993710886253,10.356129171147275,10.047361682725235
single,0,26,0.09452553874254227,0.09741014846762024,0.0016134966965888717,0.0020346361398696916,0.4644274230322355,10.579039635881045,10.265765425529327
single,0,27,0.09241360545158386,0.09645266256133715,0.003667296442205034,0.0021119332909584065,0.47639343317160476,10.820800403935083,10.367672656951482
single,0,28,0.09208264297246933,0.09438631306489312,0.0013357682815130854,0.0003309624791145299,0.478268634626968,10.859691990020144,10.594644211478723
single,0,29,0.09109533005952836,0.09374062611659367,0.0025992628365345046,0.000987312912940977,0.4838626542759601,10.977390629749124,10.667619513621654
single,0,30,0.08854306548833847,0.0926477305173874,0.00217334965151591,0.0025522645711898856,0.49832353893929704,11.293811668628464,10.793456039986753
single,0,31,0.0880232589840889,0.09092177953918774,0.0019726811400092715,0.0005198065042495703,0.5012687124099695,11.360504610220667,10.998343925121643
single,0,32,0.08512872749567033,0.08919956239461896,0.0014258071423670614,0.002894531488418575,0.5176688483836878,11.746777881449928,11.210691649858086
single,0,33,0.08267656710743904,0.08787600611348947,0.0019888915449980294,0.0024521603882312892,0.5315625524104942,12.095179321139259,11.379541067984745
single,0,34,0.08247137174010277,0.08660224382479983,0.0032428511133485026,0.00020519536733626387,0.5327251695521479,12.125272729530863,11.546911591706897
single,0,35,0.08134740543365479,0.08414935023983318,0.0018189073427064466,0.0011239663064479821,0.539093454136157,12.29280395441271,11.883491835149163
single,0,36,0.0808256694972515,0.0834008467018604,0.0029528500348802536,0.0005217359364032836,0.5420495595831438,12.372153971208782,11.99014217964185
single,0,37,0.07994195702672005,0.08212386871476966,0.001953765796038663,0.0008837124705314559,0.5470565891270873,12.508919324384774,12.176579587276175
single,0,38,0.07922875371575355,0.08065945264101028,0.0009201276803847859,0.0007132033109664981,0.5510975302339838,12.62152099560504,12.397649247650874
single,1,0,0.1821869226694107,0.19687222976287208,0.009202889783421748,0.0,0.0,5.488838037933783,5.079410751804448
single,1,1,0.17678171694278716,0.18473758122126263,0.0035113759154239035,0.005405205726623535,0.02966846164052961,5.656661563379149,5.413054454512094
single,1,2,0.1727048420906067,0.1801636282205582,0.004473870181081249,0.004076874852180473,0.05204589023115469,5.790192085542595,5.550479080587318
single,1,3,0.16478509652614592,0.17590674689610802,0.0044669883335249905,0.007919745564460762,0.095516329538325,6.0684731362717494,5.6847979560025
single,1,4,0.16478509652614592,0.17068105027675634,0.002816699691425858,0.0,0.095516329538325,6.0684731362717494,5.858846893264564
single,1,5,0.16232891142368316,0.16679704824288683,0.0029223174417523034,0.00245618510246276,0.1089980057556661,6.160294127124773,5.995273988720941
single,1,6,0.1608240202665329,0.16445280185937883,0.0025669228936318384,0.0015048911571502732,0.11725815492060365,6.217937969743234,6.080735067803905
single,1,7,0.156044606924057,0.1619317795793216,0.002361147907912683,0.004779413342475891,0.1434917246656091,6.408382906201722,6.175401932813469
single,1,8,0.1537882194519043,0.15897151904503504,0.00291471282355683,0.0022563874721527044,0.15587673803041058,6.502406368690478,6.290395384102279
single,1,9,0.1520657386779785,0.15586219628254572,0.00255704279853274,0.001722480773925783,0.16533120791599798,6.5760600161066955,6.415882798830968
single,1,10,0.14841677856445312,0.1525485258340836,0.0015889298563268473,0.00364896011352539,0.1853598689200957,6.73773728236831,6.555248169618195
single,1,11,0.14708614361286163,0.1504061031182607,0.0017985551178573145,0.0013306349515914973,0.1926635487457109,6.798690731475717,6.648622167888769
single,1,12,0.14506777811050414,0.1483009151061376,0.0024432425231584788,0.002018365502357483,0.20374209089782758,6.893282021292436,6.74300125716053
single,1,13,0.1410759969353676,0.14582222114205357,0.0017919660397567034,0.003991781175136544,0.22565245151344582,7.088327804837919,6.857618369476634
single,1,14,0.1402456918358803,0.1438862643778324,0.0018050456996834133,0.0008303050994873107,0.230209886741626,7.130292963845604,6.949885414278975
single,1,15,0.13531099158525467,0.1422315957605839,0.002563287297657416,0.004934700250625618,0.2572958058532844,7.390327998904222,7.0307371854709855
single,1,16,0.1337388904094696,0.1403252812564373,0.0029832120311355007,0.0015721011757850734,0.2659248619499053,7.477200683642806,7.126248846946666
single,1,17,0.13209794384241105,0.13591281051238377,0.0027197103065010175,0.0016409465670585432,0.2749318013230244,7.570083233920185,7.357604030304817
single,1,18,0.1297024598121643,0.13284397615393004,0.0016095623424889668,0.002395484030246753,0.288080297357471,7.70989456602155,7.527571075335816
single,1,19,0.12764331239461899,0.13104608665506046,0.0019646699729686094,0.002059147417545315,0.2993826860655878,7.834269943093495,7.630844954471824
single,1,20,0.12423210787773133,0.1296211793442567,0.002539761226897153,0.0034112045168876587,0.318106337944145,8.049384073883006,7.714729107772157
single,1,21,0.12230984932184219,0.12759126394589743,0.0030189512107812724,0.0019222585558891364,0.32865736173731364,8.17588959233415,7.837465760651657
single,1,22,0.1203679273724556,0.12447692350149153,0.00211681441038282,0.0019419219493865963,0.3393163153050751,8.307791901357701,8.033553033908198
single,1,23,0.11708167338371277,0.1230629836201668,0.0029627274211545657,0.0032862539887428266,0.3573541302074429,8.540973408787135,8.125854296139716
single,1,24,0.11249839639663696,0.12108845363855363,0.003795012101910936,0.004583276987075807,0.3825111333552069,8.88893658126235,8.258357519598308
single,1,25,0.11075243330001831,0.1163251016954581,0.0033328185696591597,0.0017459630966186468,0.3920944946142738,9.029065467353188,8.596522924992376
single,1,26,0.10418663948774337,0.11251998317639032,0.0025428985432689602,0.006565793812274942,0.42813327125132683,9.598067533890523,8.887231268077159
single,1,27,0.1022516930103302,0.10993001150886217,0.004212256853802745,0.0019349464774131714,0.4387539373730345,9.779693527474858,9.096614197162957
single,1,28,0.10043441551923751,0.10383476800123852,0.0023802023110810464,0.0018172774910926864,0.4487287339416677,9.956647212839567,9.630592802935423
single,1,29,0.09706375896930694,0.10162909751733144,0.0021518548769053282,0.003370656549930573,0.4672298233752207,10.30240028016978,9.8396048456951
single,1,30,0.09552169007062912,0.09981565475861233,0.0023316437207885907,0.0015420688986778203,0.47569403626209183,10.468716901299615,10.018368201361893
single,1,31,0.09490409708023072,0.09752162184119224,0.002027309609599198,0.0006175929903984023,0.47908392276628986,10.53684186376862,10.254031127551304
single,1,32,0.09327714532613754,0.09610079135298728,0.0012060891740107527,0.0016269517540931783,0.4880140464560422,10.720624820568652,10.40563329695847
single,1,33,0.09307618707418441,0.09548185689051948,0.0016136685150605246,0.0002009582519531261,0.48911707980777064,10.74377117996679,10.473084201351439
single,1,34,0.09185523170232773,0.09393109770417211,0.0014310738916538295,0.0012209553718566801,0.49581874287978034,10.886577660192204,10.64598815997254
single,1,35,0.09075782519578934,0.09267920551300049,0.001181640304816999,0.0010974065065383898,0.501842262518068,11.018212254761467,10.789790489402048
single,1,36,0.08998745715618134,0.09209831163485845,0.0014498301565536728,0.0007703680396080048,0.5060707111263465,11.112536336348441,10.857844453437938
single,1,37,0.08833877819776535,0.09114400790333747,0.0014736827298160158,0.001648678958415986,0.5151200925762303,11.319928806718421,10.971527931189996
single,1,38,0.08700221729278565,0.08980893970529238,0.0014949766708257446,0.0013365609049797028,0.5224562991787479,11.493827827478748,11.134625001213216
single,1,39,0.08610397809743882,0.08850170143842699,0.0013835922529700866,0.000898239195346831,0.5273866157030396,11.613730380006274,11.299090126595955
single,1,40,0.08492445808649063,0.08726993023554484,0.0016191818357911318,0.0011795200109481901,0.533860845541635,11.775032157984594,11.458569277318267
single,1,41,0.08366137117147446,0.0860065082748731,0.0010883065432782753,0.0012630869150161705,0.5407937630996538,11.952804898995742,11.626891884881493
single,1,42,0.08352820524573326,0.08489552872081596,0.0007697774749671109,0.00013316592574119657,0.5415246933101763,11.971860585266143,11.77904462134749
single,2,0,0.1719133983850479,0.18766684231758116,0.012005512473316623,0.0,0.0,5.81684843965329,5.32856342168494
single,2,1,0.15934611904621124,0.17588849743207297,0.0077462223124462465,0.012567279338836668,0.07310238443828998,6.275607654443984,5.68538778380552
single,2,2,0.15309255945682526,0.16409361546436946,0.0061654540281353655,0.006253559589385976,0.1094786043730468,6.531953424742309,6.094045177351563
single,2,3,0.14694406175613403,0.15903635622262954,0.006450863912821676,0.00614849770069123,0.1452436916696167,6.805264416844252,6.287830882953958
single,2,4,0.14411518508195878,0.15227602287133532,0.004154768081391485,0.0028288766741752513,0.1616989342554167,6.938845900141616,6.566978925277113
single,2,5,0.14180974268913268,0.14661769418120382,0.002307817245327656,0.002305442392826096,0.1751094212476081,7.051651948485511,6.820412673735282
single,2,6,0.14089698594808578,0.1436395743747552,0.0023251909852200197,0.0009127567410469051,0.1804188197565162,7.097333530150335,6.961821228805597
single,2,7,0.1370868621468544,0.14093222978909808,0.0019859737432649715,0.0038101238012313854,0.20258186136364886,7.294591835772865,7.0955586663022405
single,2,8,0.13440962141752244,0.13848056131005287,0.002041704254066981,0.0026772407293319533,0.21815505550954972,7.43988822798222,7.221177971564409
single,2,9,0.13277281469106675,0.13622395154635114,0.0021058063979507422,0.0016368067264556918,0.22767616754521325,7.531605552847625,7.340799087454588
single,2,10,0.12812656384706497,0.13443792689442632,0.0029864553247229953,0.004646250844001776,0.2547028617275666,7.80472187228671,7.438321794886766
single,2,11,0.12752885460853577,0.132473047320048,0.002809126173552097,0.0005977092385291982,0.25817966600311504,7.841301184491968,7.548648359659988
single,2,12,0.12350600880384445,0.1295251488983631,0.003920394201578088,0.004022845804691325,0.2815800864617988,8.096706492084298,7.720448793584393
single,2,13,0.1226126835346222,0.1264566083967686,0.0018223927025963523,0.000893325269222256,0.28677645438666177,8.155696584367208,7.90778833063518
single,2,14,0.11930859225988388,0.12414855472048124,0.0025427871524581085,0.0033040912747383105,0.305995964359572,8.381555758079942,8.054801342231698
single,2,15,0.11372206211090088,0.12104086642464001,0.0024751460189407423,0.005586530148982999,0.3384921525651615,8.793291188596525,8.26160426584792
single,2,16,0.11336165481805802,0.11897629221876466,0.0027908780004603567,0.0003604072928428681,0.3405885993588874,8.821247187664714,8.404965194209419
single,2,17,0.11173942214250565,0.11519942410786946,0.003590768153360795,0.0016222326755523653,0.350024935856168,8.94931288808514,8.680523598278047
single,2,18,0.1073839448094368,0.11275581220785777,0.002119865837461659,0.004355477333068847,0.37536023475656866,9.312292349496293,8.86864376900425
single,2,19,0.10468934172391892,0.11071633836428325,0.0029226047253443346,0.002694603085517888,0.39103442368442975,9.551979519152978,9.032009031049775
single,2,20,0.10419375145435333,0.10783378413716954,0.0034119962981423364,0.0004955902695655823,0.3939172139394137,9.59741240361891,9.273445558419867
single,2,21,0.10343472331762314,0.10633461062709491,0.0031681417243159247,0.0007590281367301915,0.39833239125462294,9.667839774555164,9.404187309431732
single,2,22,0.10072218483686447,0.10392036994695664,0.0011807873647212723,0.0027125384807586694,0.4141109082651655,9.92820075754795,9.622659906335128
single,2,23,0.10000082916021347,0.10268663298487662,0.00136833955765079,0.000721355676651006,0.41830694931506285,9.99981708732442,9.738271016016851
single,2,24,0.09817199766635895,0.10148320051232974,0.002154597378298882,0.0018288314938545158,0.4289450468166801,10.186100290005417,9.853750583358103
single,2,25,0.09761279481649399,0.09977467825611433,0.0010570928410801273,0.0005592028498649648,0.43219786396251114,10.244453684849757,10.02248260776638
single,2,26,0.09658929699659348,0.09958287156422933,0.0026099755755059446,0.0010234978199005068,0.438151430290181,10.353006783230699,10.041786730043155
single,2,27,0.09521062606573105,0.098773662207524,0.0028142657910407093,0.0013786709308624273,0.4461709967917663,10.50291903753048,10.124053858053353
single,2,28,0.09426192617416382,0.09737155411243435,0.003405424759517744,0.000948699891567234,0.45168947237586454,10.608624626742028,10.26983434002684
single,2,29,0.09304009020328521,0.09586333058079086,0.002136596783308266,0.0012218359708786042,0.45879674837852935,10.747939408438818,10.431408574404403
single,2,30,0.09232635533809662,0.09407449477116267,0.0010083983049429545,0.000713734865188595,0.46294846006530543,10.831026149704675,10.62976073027823
single,2,31,0.0922623999118805,0.09445486044088997,0.003544745417811841,6.395542621612238e-05,0.46332048125048886,10.838534033593888,10.586955593144962
single,2,32,0.09148468232154847,0.09309815951188405,0.001959963992145059,0.0007777175903320305,0.4678443729170948,10.930672151356527,10.741235530406165
single,2,33,0.09027741992473602,0.09222668965856234,0.0010928450801903902,0.0012072623968124446,0.4748668761550824,11.076844287191639,10.842730677761923
single,2,34,0.08797675734758377,0.09166296332677207,0.0014036440792137988,0.0023006625771522515,0.48824955952220006,11.366509333139577,10.90941263836813
