selection_method,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
roulette,0,0,0.2033725741396809,0.24491862214794227,0.014966772521642767,0.0,0.0,4.917059673215856,4.082972165439467
roulette,0,1,0.2033725741396809,0.23299626622366063,0.013168342665554372,0.0,0.0,4.917059673215856,4.291895850143031
roulette,0,2,0.19853626322902962,0.22098446666671304,0.014501274140465575,0.004836310910651287,0.02378054627626236,5.036837839586894,4.525184461601653
roulette,0,3,0.19577762174958113,0.21578101442041814,0.013763166865551613,0.002758641479448487,0.037345017745034736,5.107809989995189,4.63430653702052
roulette,0,4,0.19540420517687174,0.20831097504813925,0.009400893991275049,0.0003734165727093952,0.039181138344329125,5.117570942364848,4.8004921453454985
roulette,0,5,0.192164453310055,0.20325552098449648,0.006577243529553349,0.0032397518668167424,0.055111269929287166,5.203848989373343,4.919891352840166
roulette,0,6,0.1898986270247967,0.20030120761425035,0.006488910540193807,0.0022658262852582878,0.0662525277652728,5.265939779173037,4.992456208599749
roulette,0,7,0.18982372468916725,0.19537877262912595,0.003075063293335221,7.490233562945647e-05,0.06662082883018439,5.268017649636908,5.118237095598536
roulette,0,8,0.18973574992029965,0.19368046650149337,0.002267896684390777,8.797476886759914e-05,0.06705340814546201,5.270460258331912,5.163116626816173
roulette,0,9,0.18939251491102185,0.19220964821137623,0.0019371940386972838,0.00034323500927779804,0.06874112346661465,5.280011833931091,5.202625397216749
roulette,0,10,0.1844138756528586,0.19101426424690096,0.0028029239385873646,0.004978639258163248,0.09322151016194069,5.422556051727593,5.23518371132596
roulette,0,11,0.1844138756528586,0.18928976859360133,0.0028131125609454086,0.0,0.09322151016194069,5.422556051727593,5.282877804500623
roulette,0,12,0.18430387175949453,0.1875435854684934,0.002762773456224928,0.00011000389336407457,0.09376240852952744,5.425792549341467,5.332065425946382
roulette,0,13,0.18430387175949453,0.18600654582648254,0.0012715052237346866,0.0,0.09376240852952744,5.425792549341467,5.376125982183818
roulette,0,14,0.1838310779989839,0.18542727214567828,0.0010368511936846233,0.0004727937605106258,0.09608717509409825,5.439747028293546,5.39292087678177
roulette,0,15,0.18379881702635525,0.1850301450545794,0.0007991963703313675,3.2260972628650464e-05,0.09624580500162205,5.440701825381082,5.40449554968179
roulette,1,0,0.20746271918417342,0.2347013058968542,0.017309115146264584,0.0,0.0,4.8201198934077825,4.260716554014067
roulette,1,1,0.19321696209865347,0.22519521603321288,0.017128549219439976,0.01424575708551995,0.06866658810575688,5.175502262514387,4.440571949275186
